Date_Filed,Filing_Party,Appeal_ID,Hardship_Appeal,Interpreter_Request,Address,Appeal_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
10/05/2010,tenant,AT100092,true,false,500 Block Of John Muir Drive,94132,7,Lakeshore,"(37.7143348140478, -122.492047872131)"
04/04/2014,landlord,AL140034,true,true,2900 Block Of San Bruno Avenue,94134,9,Portola,"(37.724652379424, -122.402288649237)"
03/17/2010,tenant,AT100034,true,false,600 Block Of John Muir Drive,94132,7,Lakeshore,"(37.7143348140478, -122.492047872131)"
09/22/2014,tenant,AT140182,true,false,100 Block Of Point Lobos Avenue,94121,1,Outer Richmond,"(37.7796978847625, -122.504603568177)"
07/24/2013,tenant,AT130077,true,false,2300 Block Of Van Ness Avenue,94109,3,Russian Hill,"(37.7971759544757, -122.42352863623)"
07/10/2012,tenant,AT120075,true,false,1700 Block Of Van Ness Avenue,94109,2,Pacific Heights,"(37.7917100184165, -122.422775406869)"
05/30/2012,tenant,AT120059,true,false,1600 Block Of Broadway Street,94109,,,
03/17/2010,tenant,AT100035,true,false,600 Block Of John Muir Drive,94132,7,Lakeshore,"(37.7143348140478, -122.492047872131)"
04/05/2011,tenant,AT110038,true,false,0 Block Of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.7814899386496, -122.44332591489)"
05/13/2010,tenant,AT100055,true,false,0 Block Of Chumasero Drive,94132,7,Lakeshore,"(37.7133177847632, -122.472875861103)"
04/05/2011,tenant,AT110031,true,false,0 Block Of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.7814899386496, -122.44332591489)"
11/17/2009,tenant,AT090241,true,false,0 Block Of Richland Street,94110,,,
07/02/2013,tenant,AT130067,true,false,800 Block Of Rhode Island Street,94107,10,Potrero Hill,"(37.7590433306866, -122.401949185845)"
04/20/2010,tenant,AT100045,true,false,1600 Block Of Broadway Street,94109,,,
07/26/2012,tenant,AT120078,true,false,1700 Block Of Van Ness Avenue,94109,2,Pacific Heights,"(37.7917100184165, -122.422775406869)"
12/22/2009,tenant,AT090255,true,false,500 Block Of John Muir Drive,94132,7,Lakeshore,"(37.7143348140478, -122.492047872131)"
04/12/2010,tenant,AT100044,true,false,1600 Block Of Broadway Street,94109,,,
11/30/2009,tenant,AT090248,true,false,0 Block Of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.7814899386496, -122.44332591489)"
11/17/2009,tenant,AT090242,true,false,0 Block Of Richland Street,94110,,,
02/23/2016,tenant,AT160026,true,false,1000 Block Of Powell Street,94108,3,Chinatown,"(37.7943031543436, -122.409562986347)"
02/23/2016,tenant,AT160023,true,false,1000 Block Of Powell Street,94108,3,Chinatown,"(37.7943031543436, -122.409562986347)"
02/22/2016,tenant,AT160027,true,false,1000 Block Of Powell Street,94108,3,Chinatown,"(37.7943031543436, -122.409562986347)"
02/22/2016,tenant,AT160025,true,false,1000 Block Of Powell Street,94108,3,Chinatown,"(37.7943031543436, -122.409562986347)"
02/23/2016,tenant,AT160024,true,false,1000 Block Of Powell Street,94108,3,Chinatown,"(37.7943031543436, -122.409562986347)"
03/30/2009,tenant,AT090107,false,false,200 Block Of Castro Street,94114,8,Castro/Upper Market,"(37.7645185040777, -122.435287518203)"
04/16/2007,tenant,AT070118,false,false,300 Block Of Font Boulevard,94132,7,Lakeshore,"(37.71709928396, -122.476744283997)"
