Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B170432,02/27/2017,,,1900 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7253599135204, -122.442669087981"
B170434,02/27/2017,,,1700 Block Of Lane Street,94124,10,Bayview Hunters Point,"37.7313181234825, -122.390389463796"
B170435,02/27/2017,,,100 Block Of Tiffany Avenue,94110,8,Bernal Heights,"37.7452607745731, -122.42122878628"
B170436,02/27/2017,,,600 Block Of 33rd Avenue,94121,1,Outer Richmond,"37.7768393830362, -122.493175111385"
B170444,02/27/2017,,,0 Block Of Nordhoff Street,94131,8,West of Twin Peaks,"37.7337925125863, -122.44096830509"
B170530,02/27/2017,,,2300 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7935066497641, -122.433922047772"
B170531,02/27/2017,,,2300 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7935066497641, -122.433922047772"
B170532,02/27/2017,,,2300 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7935066497641, -122.433922047772"
B170755,02/27/2017,,,1900 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7253599135204, -122.442669087981"
B170756,02/27/2017,,,1900 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7253599135204, -122.442669087981"
B170757,02/27/2017,,,1900 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7253599135204, -122.442669087981"
B170758,02/27/2017,,,1900 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7253599135204, -122.442669087981"
B170759,02/27/2017,,,1900 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7253599135204, -122.442669087981"
B170760,02/27/2017,,,1900 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7253599135204, -122.442669087981"
B170428,02/24/2017,,,500 Block Of 38th Avenue,94121,1,Outer Richmond,"37.7784899479136, -122.498662035394"
B170430,02/24/2017,,,1100 Block Of Ingerson Avenue,94124,10,Bayview Hunters Point,"37.7205336861408, -122.395602639137"
B170431,02/24/2017,,,1600 Block Of Grove Street,94117,5,Lone Mountain/USF,"37.7751365743971, -122.44375821042"
B170422,02/23/2017,,,1700 Block Of Bryant Street,94110,9,Mission,"37.7649537877437, -122.410494213792"
B170423,02/23/2017,,,0 Block Of Beaumont Avenue,94118,1,Lone Mountain/USF,"37.7807425793891, -122.455063675308"
B170420,02/22/2017,,,1200 Block Of Taylor Street,94108,3,Nob Hill,"37.7938853061603, -122.412851827445"
B170350,02/21/2017,,,2800 Block Of Sacramento Street,94115,2,Pacific Heights,"37.7890476085932, -122.439780969456"
B170351,02/21/2017,,,1800 Block Of Pacific Avenue,94109,2,Pacific Heights,"37.7944481958271, -122.425681947882"
B170419,02/21/2017,"$40,000.00",2,1600 Block Of 48th Avenue,94122,4,Sunset/Parkside,"37.755664479278, -122.507808351547"
B170421,02/21/2017,,,100 Block Of Liberty Street,94110,8,Mission,"37.7575520649382, -122.424576243101"
B170343,02/17/2017,,,0 Block Of Lee Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7191063134855, -122.45401979515"
B170348,02/17/2017,,,400 Block Of Central Avenue,94117,5,Lone Mountain/USF,"37.7736721216367, -122.444378730504"
B170349,02/17/2017,,,3200 Block Of Steiner Street,94123,2,Marina,"37.7994129802741, -122.437720116043"
B170331,02/16/2017,,,1000 Block Of Howard Street,94103,6,South of Market,"37.7782352179674, -122.409158691287"
B170332,02/16/2017,,,1000 Block Of Howard Street,94103,6,South of Market,"37.7782352179674, -122.409158691287"
B170335,02/16/2017,,,700 Block Of Cole Street,94117,5,Haight Ashbury,"37.7681374945918, -122.450359833682"
B170336,02/16/2017,,,3100 Block Of Sacramento Street,94115,2,Pacific Heights,"37.7884127178839, -122.444753540997"
B170337,02/16/2017,,,3500 Block Of 20th Street,94110,9,Mission,"37.7584668484607, -122.420884032109"
B170338,02/16/2017,,,2300 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7935066497641, -122.433922047772"
B170339,02/16/2017,,,2300 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7935066497641, -122.433922047772"
B170340,02/16/2017,,,2300 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7935066497641, -122.433922047772"
B170341,02/16/2017,,,2300 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7935066497641, -122.433922047772"
B170433,02/16/2017,"$96,785.00",2,3900 Block Of 26th Street,94131,8,Noe Valley,"37.7484838218738, -122.428239848114"
B170330,02/15/2017,,,2000 Block Of 31st Avenue,94116,4,Sunset/Parkside,"37.7490134327794, -122.488932363201"
B170333,02/15/2017,,,6400 Block Of California Street,94121,1,Outer Richmond,"37.7837546165211, -122.486615769744"
B170334,02/15/2017,,,6400 Block Of California Street,94121,1,Outer Richmond,"37.7837546165211, -122.486615769744"
B170328,02/14/2017,,,1400 Block Of 6th Avenue,94122,5,Inner Sunset,"37.7613870520563, -122.462837875916"
B170329,02/14/2017,,,100 Block Of Marietta Drive,94127,7,West of Twin Peaks,"37.7404694748355, -122.447557044206"
B170322,02/13/2017,,,500 Block Of Oak Street,94102,5,Hayes Valley,"37.7743391857961, -122.428373303015"
B170323,02/13/2017,,,3200 Block Of Broderick Street,94123,2,Marina,"37.8002218948547, -122.444678475112"
B170324,02/13/2017,,,200 Block Of 6th Street,94103,6,South of Market,"37.7794880679854, -122.406942924938"
B170325,02/13/2017,,,200 Block Of 6th Street,94103,6,South of Market,"37.7794880679854, -122.406942924938"
B170327,02/13/2017,,,200 Block Of 6th Street,94103,6,South of Market,"37.7794880679854, -122.406942924938"
B170319,02/10/2017,,,1700 Block Of Vallejo Street,94123,2,Pacific Heights,"37.7963225459407, -122.426060344087"
