Date,Location
06/06/2016,"37.7364374645373, -122.417989910582"
06/29/2016,"37.7205429316262, -122.443264852669"
06/28/2016,"37.7652067507312, -122.426591617441"
06/02/2016,"37.764977785911, -122.4664456379"
02/28/2016,"37.7912373166567, -122.419197310472"
06/06/2016,"37.7167969475402, -122.403664398767"
06/13/2016,"37.7453025419492, -122.419008184627"
06/13/2016,"37.777083463941, -122.416979326588"
06/30/2016,"37.8035109665788, -122.407095028398"
06/01/2016,"37.7961971224445, -122.438753767562"
06/01/2016,"37.777083463941, -122.416979326588"
06/10/2016,"37.7559862228796, -122.399638749678"
06/02/2016,"37.7764132198929, -122.427099517756"
06/06/2016,"37.7364374645373, -122.417989910582"
06/06/2016,"37.7703617832706, -122.451220569094"
06/06/2016,"37.7431291379962, -122.423681393686"
06/08/2016,"37.7177507841464, -122.426921683484"
02/28/2016,"37.8021635807448, -122.414518424685"
06/13/2016,"37.7149703252083, -122.45426427366"
06/03/2016,"37.7858903309874, -122.411725719958"
06/03/2016,"37.7669871097813, -122.427857167521"
06/09/2016,"37.7763847738943, -122.442321333639"
06/13/2016,"37.7482411048355, -122.430446357124"
05/10/2012,
06/30/2016,"37.7500686065908, -122.507420623592"
06/29/2016,"37.7813416542246, -122.478443283417"
06/02/2016,"37.8038649679209, -122.442782026482"
06/06/2016,"37.7167969475402, -122.403664398767"
06/06/2016,"37.8011440046309, -122.404033168218"
06/09/2016,"37.7131278903716, -122.457538110071"
06/27/2016,"37.7688016803001, -122.417713021943"
06/30/2016,"37.7202261178463, -122.393393791466"
06/13/2016,"37.7754517966519, -122.504284482068"
06/29/2016,"37.7726685266122, -122.406026426554"
06/13/2016,"37.7729614519431, -122.496112755099"
06/13/2016,"37.752495884261, -122.434132293579"
06/27/2016,"37.777083463941, -122.416979326588"
06/16/2016,"37.7565060597587, -122.421010357714"
06/06/2016,"37.7431291379962, -122.423681393686"
06/27/2016,"37.7724811637675, -122.412311666163"
06/02/2016,"37.7896925377564, -122.428093808672"
06/20/2016,"37.7801944960307, -122.461066150054"
06/06/2016,"37.7364374645373, -122.417989910582"
06/24/2016,"37.770646406416, -122.43396487668"
06/16/2016,"37.7425477759937, -122.421159714238"
06/09/2016,"37.7305535568288, -122.389751028995"
06/01/2016,"37.7961971224445, -122.438753767562"
06/27/2016,"37.7729614519431, -122.496112755099"
08/18/2004,
05/13/2015,
06/15/2016,"37.7879071326667, -122.441263904736"
06/01/2016,"37.777083463941, -122.416979326588"
06/23/2016,"37.8021635807448, -122.414518424685"
06/03/2016,"37.7858903309874, -122.411725719958"
06/20/2016,"37.7745894671254, -122.50146121868"
06/06/2016,"37.7364374645373, -122.417989910582"
06/15/2016,"37.7974438394496, -122.439778049704"
06/27/2016,"37.7576764115793, -122.5045907174"
04/07/2016,"37.7841919715439, -122.476969127677"
06/27/2016,"37.7688016803001, -122.417713021943"
06/20/2016,"37.7836863382486, -122.410789885446"
06/03/2016,"37.7427271541525, -122.418363583905"
06/14/2016,"37.7950387631525, -122.413995680134"
06/09/2016,"37.7742900961099, -122.466949914928"
06/06/2016,"37.7640272818448, -122.404365369809"
06/13/2016,"37.7189466801821, -122.475188439072"
06/27/2016,"37.7128759355918, -122.40616384708"
06/03/2016,"37.786360791167, -122.415616900342"
06/17/2016,"37.7756633772526, -122.440489225361"
06/10/2016,"37.7628184246671, -122.472793678685"
06/20/2016,"37.7755606607907, -122.427703251918"
06/23/2016,"37.7896925377564, -122.428093808672"
06/15/2016,"37.7670659596404, -122.433301088346"
06/20/2016,"37.7828450344745, -122.41322176637"
06/23/2016,
06/30/2016,"37.8044102455856, -122.407535183782"
06/20/2016,"37.793099696941, -122.422039684312"
06/22/2016,"37.7566821047794, -122.411417481348"
06/06/2016,"37.7431291379962, -122.423681393686"
05/24/2016,"37.7781106106522, -122.465208632211"
06/02/2016,"37.7533043261659, -122.476491147632"
